county,bf_acreage
Alamance,347.22
Alexander,0
"Alleghany	",0
Anson,20.12
Ashe,0
Avery,5.71
"Beaufort	",191.18
Bertie,
Bladen,
Brunswick,268.39
Buncombe,756.89
Burke,209.04
Cabarrus,172.83
Caldwell,112.61
Camden,
Carteret,18.843
Caswell,
Catawba,171.218
Chatham,516.627
Cherokee,0
Chowan,90.98
Clay,
Cleveland,187.67
Columbus,
Craven,92.5
Cumberland,258.11
Currituck,5.2
Dare,
Davidson,37.95
Davie,17.9
Duplin,140.22
Durham,602.34
Edgecombe,47.68
Forsyth,1176.624
Franklin,28.75
Gaston,435.01
Gates,
Graham,37.47
Granville,32.98
Greene,
Guilford,647.893
Halifax,357.97
"Harnett	",56.21
Haywood,40.43
Henderson,293.983
Hertford,
Hoke,
Hyde,
Iredell,128.3
Jackson,
Johnston,75.03
Jones,
Lee,60.83
Lenoir,56.24
Lincoln,95.876
McDowell,15.29
Macon,2.05
Madison,31.57
Martin,147.5
Mecklenburg,9324.31
Mitchell,
Montgomery,3.55
Moore,59.43
Nash,382.28
New Hanover,1594.16
Northampton,7.1
Onslow,
Orange,137.17
Pamlico,
Pasquotank,
Pender,407.25
Perquimans,
Person,25.69
Pitt,82.48
Polk,50.98
Randolph,106.27
Richmond,10
Robeson,605.14
Rockingham,
Rowan,734.12
Rutherford,166.2
Sampson,36.91
Scotland,1183.26
Stanly,18.93
Stokes,6.24
Surry,166.71
"Swain	",20.5
"Transylvania	",1293.63
Tyrell,
Union,259.295
Vance,38.94
Wake,1346.05
Warren,
Washington,24
Watauga,38.88
Wayne,94.46
Wilkes,28.35
Wilson,48.38
Yadkin,
Yancey,79.67
